Angle deg,Incidence angle rad,IAM_long,IAM_transv
0,0,1,1
5,0.087266463,0.986722828,0.980790497
10,0.174532925,0.969364284,0.971593854
15,0.261799388,0.946752091,0.968148576
20,0.34906585,0.917979823,0.966621866
25,0.436332313,0.882406899,0.963609624
30,0.523598776,0.83965859,0.95613645
35,0.610865238,0.789626014,0.94165564
40,0.698131701,0.732466136,0.918049189
45,0.785398163,0.668601771,0.883627789
50,0.872664626,0.598721583,0.837130832
55,0.959931089,0.523780084,0.777726405
60,1.047197551,0.444997632,0.705011296
65,1.134464014,0.363860437,0.619010988
70,1.221730476,0.282120556,0.520179666
75,1.308996939,0.201795893,0.409400209
80,1.396263402,0.125170203,0.287984196
85,1.483529864,0.054793088,0.157671903
90,1.570796327,-0.006520003,0.020632306
