Angle deg,Incidence angle rad,IAM_log,IAM_transv
0,0,1,1
5,0.087266463,0.999683544,0.999525316
10,0.174532925,0.996518987,1
15,0.261799388,0.97056962,0.97943038
20,0.34906585,0.940189873,0.995411392
25,0.436332313,0.898892405,0.976582278
30,0.523598776,0.850632911,0.946993671
35,0.610865238,0.797310127,0.904113924
40,0.698131701,0.733860759,0.863449367
45,0.785398163,0.667879747,0.81835443
50,0.872664626,0.593829114,0.801898734
55,0.959931089,0.517405063,0.726898734
60,1.047197551,0.436392405,0.643037975
65,1.134464014,0.351265823,0.542879747
70,1.221730476,0.2625,0.441455696
75,1.308996939,0.171518987,0.334651899
80,1.396263402,0.084968354,0.227373418
85,1.483529864,0.015822785,0.124208861
90,1.570796327,0.000158228,0.05806962
